# META: {"workflow_id": 9, "user_id": 33, "num_abstract": 50, "connector_pattern": "1000100100010000000100110111010100011110001011000", "abstract_services": {"a_0": 122, "a_1": 102, "a_2": 117, "a_3": 107, "a_4": 90, "a_5": 90, "a_6": 98, "a_7": 123, "a_8": 113, "a_9": 91, "a_10": 108, "a_11": 118, "a_12": 98, "a_13": 102, "a_14": 117, "a_15": 106, "a_16": 115, "a_17": 123, "a_18": 123, "a_19": 108, "a_20": 107, "a_21": 120, "a_22": 98, "a_23": 104, "a_24": 91, "a_25": 93, "a_26": 120, "a_27": 110, "a_28": 100, "a_29": 107, "a_30": 114, "a_31": 93, "a_32": 112, "a_33": 116, "a_34": 93, "a_35": 92, "a_36": 101, "a_37": 90, "a_38": 112, "a_39": 98, "a_40": 101, "a_41": 113, "a_42": 102, "a_43": 116, "a_44": 104, "a_45": 108, "a_46": 108, "a_47": 104, "a_48": 89, "a_49": 101}, "total_latency": 6.237, "total_throughput": 1.675}
abstract_service,concrete_service,latency,throughput
a_1,4806,0.097,30.927
a_1,3013,0.408,9.803
a_1,1215,0.351,8.547
a_1,248,0.183,38.251
a_1,2827,0.167,29.94
a_1,2673,0.363,19.283
a_1,1287,0.642,232.087
a_1,1390,0.586,5.119
a_1,4919,0.131,22.9
a_1,4238,0.072,41.666
a_1,731,0.546,3.663
a_1,5089,0.11,254.545
a_1,112,5.514,0.725
a_1,2134,0.527,5.692
a_1,707,0.501,7.984
a_1,1183,0.357,5.602
a_1,2181,0.213,18.779
a_1,1803,0.323,12.383
a_1,2035,0.441,95.238
a_1,5176,0.648,32.407
a_1,5482,0.138,65.217
a_1,1991,0.335,5.97
a_1,854,0.857,8.168
a_1,4946,0.092,43.478
a_1,607,0.461,28.199
a_1,4936,0.162,30.864
a_1,3358,0.56,73.214
a_1,1639,0.135,37.037
a_1,5584,0.286,6.993
a_1,475,0.181,49.723
a_1,3611,0.139,21.582
a_1,4186,0.162,18.518
a_1,1236,0.248,36.29
a_1,4814,0.182,16.483
a_1,138,0.133,60.15
a_1,1119,0.4,10.0
a_1,3490,0.188,10.638
a_1,3612,0.072,166.666
a_1,1891,0.447,17.897
a_1,1156,0.13,23.076
a_1,4495,0.159,50.314
a_1,1881,0.414,4.83
a_1,5457,0.396,5.05
a_1,1584,0.258,7.751
a_1,5721,0.095,31.578
a_1,5289,0.031,64.516
a_1,2571,0.326,6.134
a_1,5013,0.371,8.086
a_1,1677,0.486,10.288
a_1,2090,0.376,10.638
a_1,3355,0.095,831.578
a_1,2705,0.179,22.346
a_1,5353,0.153,19.607
a_1,3834,0.172,11.627
a_1,631,0.234,8.547
a_1,4983,0.055,90.909
a_1,4896,0.198,20.202
a_1,5813,0.188,21.276
a_1,1507,0.423,446.808
a_1,3527,0.055,54.545
a_1,4007,0.039,51.282
a_1,3422,0.196,15.306
a_1,2716,0.201,19.9
a_1,604,0.174,22.988
a_1,2208,0.392,5.102
a_1,4118,0.129,15.503
a_1,1756,0.207,14.492
a_1,1805,0.304,36.184
a_1,5076,0.159,25.157
a_2,603,0.194,67.01
a_2,4676,0.118,542.372
a_2,1084,0.144,20.833
a_2,1688,0.136,36.764
a_2,5128,0.567,3.527
a_2,305,0.131,53.435
a_2,1035,0.377,13.262
a_2,2951,0.337,14.836
a_2,469,0.256,35.156
a_2,66,14.441,0.207
a_2,2188,0.326,12.269
a_2,1904,0.289,10.38
a_2,1711,0.152,532.894
a_2,5752,0.069,72.463
a_2,3396,0.529,15.122
a_2,3405,0.414,9.661
a_2,5747,0.331,604.229
a_2,4025,0.1,20.0
a_2,5532,0.166,42.168
a_2,1453,0.533,7.504
a_2,2798,0.166,30.12
a_2,4051,0.101,19.801
a_2,795,0.422,4.739
a_2,5410,0.048,20.833
a_2,1758,0.323,6.191
a_2,303,0.132,53.03
a_2,659,0.243,8.23
a_2,5665,0.078,51.282
a_2,1607,0.37,27.027
a_2,3080,0.283,10.6
a_2,4575,0.077,220.779
a_2,1823,0.512,5.859
a_2,9,0.666,4.504
a_2,5812,0.142,28.169
a_2,1045,0.323,6.191
a_2,1829,0.335,8.955
a_2,2862,0.165,30.303
a_2,2233,0.198,10.101
a_2,2095,0.418,9.569
a_2,5200,0.87,4.597
a_2,5417,0.086,23.255
a_2,2353,0.308,9.74
a_2,580,0.119,25.21
a_2,4410,0.231,12.987
a_2,2369,0.232,34.482
a_2,3342,0.159,44.025
a_2,2125,0.315,88.888
a_2,408,12.124,0.659
a_2,4292,0.12,33.333
a_2,5238,0.294,10.204
a_2,1471,3.068,1.303
a_2,5264,0.186,16.129
a_2,4683,1.806,73.089
a_2,1022,0.297,13.468
a_2,2859,0.18,22.222
a_2,5483,0.13,69.23
a_2,3327,0.197,197.969
a_2,3324,0.128,46.875
a_2,3721,0.103,398.058
a_2,5454,0.126,23.809
a_2,1696,0.136,36.764
a_2,4386,0.068,44.117
a_2,4526,0.064,31.25
a_2,5717,0.09,33.333
a_2,4290,0.136,14.705
a_2,5458,0.395,12.658
a_2,4672,0.161,37.267
a_2,570,0.148,27.027
a_2,2874,0.165,30.303
a_2,2252,0.151,19.867
a_2,452,11.282,0.709
a_2,3322,0.129,38.759
a_2,4572,0.129,31.007
a_2,1264,0.43,6.976
a_2,2691,0.165,30.303
a_2,5686,0.132,583.333
a_2,2326,0.502,9.96
a_2,3027,1.769,146.975
a_2,1581,0.657,98.934
a_2,3804,0.114,70.175
a_2,4838,0.124,32.258
a_2,3807,0.031,64.516
a_2,3399,0.475,16.842
a_2,3065,0.356,56.179
a_2,1872,1.064,7.518
a_2,514,0.13,69.23
a_2,4593,0.285,10.526
a_2,4068,0.142,14.084
a_2,4992,0.169,23.668
a_2,1763,0.522,9.578
a_2,1490,0.267,11.235
a_2,142,0.134,22.388
a_2,4705,0.086,23.255
a_2,4531,0.138,50.724
a_2,3138,0.588,15.306
a_2,3235,0.225,26.666
a_2,1223,0.229,39.301
a_2,3218,0.197,20.304
a_2,5630,0.177,22.598
a_2,5684,0.047,63.829
a_2,4052,0.07,28.571
a_2,1463,0.769,3.901
a_2,5502,0.268,7.462
a_2,144,0.31,6.451
a_2,2876,0.164,30.487
a_2,2634,0.225,137.777
a_2,2553,0.134,22.388
a_2,4988,0.125,24.0
a_2,3039,0.175,17.142
a_2,2240,0.394,7.614
a_2,2521,0.308,9.74
a_2,597,0.177,16.949
a_2,727,0.732,4.098
a_2,5474,0.13,69.23
a_2,4040,0.135,22.222
a_2,808,0.544,5.514
a_2,1224,0.229,39.301
a_3,1630,0.363,11.019
a_3,643,0.23,13.043
a_3,5165,0.339,20.648
a_3,4670,2.127,0.94
a_3,4039,0.127,31.496
a_3,2368,0.416,19.23
a_3,3252,1.082,165.434
a_3,1759,0.343,14.577
a_3,5110,0.103,58.252
a_3,2140,0.355,11.267
a_3,2743,0.173,28.901
a_3,2315,1.231,23.558
a_3,5429,0.207,9.661
a_3,2868,0.172,29.069
a_3,5214,0.444,4.504
a_3,5343,0.182,93.406
a_3,178,1.201,5.828
a_3,2984,0.701,11.412
a_3,3089,0.318,9.433
a_3,3156,0.265,64.15
a_3,1549,0.561,3.565
a_3,5760,0.251,15.936
a_3,4429,0.145,282.758
a_3,5181,0.307,3.257
a_3,5215,0.727,178.817
a_3,5171,0.381,10.498
a_3,2648,0.372,5.376
a_3,433,0.195,35.897
a_3,5179,0.508,9.842
a_3,3853,0.061,49.18
a_3,1965,0.148,13.513
a_3,1487,0.255,7.843
a_3,1795,0.354,11.299
a_3,211,0.262,11.45
a_3,1930,0.327,9.174
a_3,4162,0.312,35.256
a_3,635,0.331,12.084
a_3,4747,0.109,18.348
a_3,1263,0.122,24.59
a_3,3920,0.031,129.032
a_3,1755,0.207,9.661
a_3,3907,0.051,78.431
a_3,4682,0.124,16.129
a_3,2417,0.272,7.352
a_3,339,0.138,50.724
a_3,4645,0.081,172.839
a_3,3057,0.218,13.761
a_3,448,0.171,52.631
a_3,3971,0.198,35.353
a_3,113,0.314,15.923
a_3,964,0.273,7.326
a_3,1809,0.313,25.559
a_3,3565,0.068,58.823
a_3,1620,0.472,6.355
a_3,5224,0.334,5.988
a_3,2637,0.245,228.571
a_3,2589,0.275,7.272
a_3,2039,0.41,7.317
a_3,279,0.135,51.851
a_3,1826,0.695,30.215
a_3,4397,0.075,40.0
a_3,5314,0.661,128.593
a_3,215,1.319,3.79
a_3,1649,0.157,31.847
a_3,2817,0.168,29.761
a_3,3995,0.08,112.5
a_3,1777,0.322,12.422
a_3,2057,0.521,17.274
a_3,3558,0.067,44.776
a_3,4395,10.099,0.396
a_3,2099,0.13,15.384
a_3,4729,0.152,13.157
a_3,4756,0.189,10.582
a_3,998,0.816,2.45
a_3,350,0.13,69.23
a_3,4048,0.073,27.397
a_3,5356,0.183,32.786
a_3,5363,0.174,17.241
a_3,2647,0.396,10.101
a_3,5217,2.305,1.301
a_3,74,0.631,4.754
a_3,3387,0.47,17.021
a_3,1652,0.138,36.231
a_3,2411,0.315,19.047
a_3,3879,0.179,33.519
a_3,963,0.146,13.698
a_3,4390,0.144,27.777
a_3,5392,0.124,32.258
a_3,3965,0.201,39.8
a_3,2564,0.528,15.151
a_3,2026,0.624,3.205
a_3,3595,0.056,53.571
a_3,953,0.768,2.604
a_3,4259,0.063,47.619
a_3,360,0.167,41.916
a_3,3894,0.101,79.207
a_3,1157,0.334,23.952
a_3,316,0.141,49.645
a_3,1624,0.347,5.763
a_3,829,0.672,2.976
a_3,5077,0.139,14.388
a_3,3437,0.169,17.751
a_3,1258,0.413,16.949
a_3,4866,0.188,10.638
a_3,4177,0.305,6.557
a_3,4017,1.06,125.471
a_3,3127,0.594,107.744
a_4,4857,0.665,4.511
a_4,5291,0.158,18.987
a_4,1005,0.493,4.056
a_4,3351,0.128,46.875
a_4,1531,0.612,9.803
a_4,813,0.557,8.976
a_4,1942,0.331,12.084
a_4,4207,0.106,37.735
a_4,2779,0.165,30.303
a_4,926,0.309,197.411
a_4,2158,0.337,8.902
a_4,3207,0.229,13.1
a_4,4970,0.135,66.666
a_4,2974,0.227,13.215
a_4,4520,0.203,19.704
a_4,5068,0.227,105.726
a_4,4147,0.095,263.157
a_4,296,0.133,52.631
a_4,1926,1.021,2.938
a_4,2003,1.197,1.67
a_4,5797,0.105,19.047
a_4,2893,0.343,906.705
a_4,5306,0.242,16.528
a_4,2980,0.172,11.627
a_4,4521,0.133,22.556
a_4,4898,0.515,7.766
a_4,535,0.039,76.923
a_4,3494,0.148,13.513
a_4,4411,0.2,20.0
a_4,1559,0.803,4.981
a_4,4471,0.108,27.777
a_4,5819,0.269,11.152
a_4,718,1.337,1.495
a_4,2629,0.401,7.481
a_4,2409,0.286,13.986
a_4,4032,0.142,21.126
a_4,1309,0.674,4.451
a_4,2809,0.178,28.089
a_4,4029,0.136,22.058
a_4,3015,0.169,23.668
a_4,5441,0.126,71.428
a_4,1081,0.829,3.618
a_4,3889,0.204,19.607
a_4,1245,0.169,17.751
a_4,4501,0.186,10.752
a_4,1844,0.428,7.009
a_4,4402,0.167,23.952
a_4,4374,0.131,22.9
a_4,5428,0.544,3.676
a_4,1793,0.161,18.633
a_4,2071,0.311,9.646
a_4,4931,0.3,26.666
a_4,1680,0.139,35.971
a_4,3796,0.118,67.796
a_4,3808,0.063,190.476
a_4,1802,0.165,12.121
a_4,2771,0.164,24.39
a_4,3694,0.104,28.846
a_4,1514,0.163,18.404
a_4,2191,0.312,9.615
a_4,4112,0.27,18.518
a_4,1745,0.164,365.853
a_4,3177,0.185,27.027
a_4,749,0.546,5.494
a_4,802,0.523,5.736
a_4,1967,0.145,13.793
a_4,605,0.188,37.234
a_4,4137,0.259,15.444
a_4,2058,0.422,7.109
a_4,4164,0.554,28.88
a_4,3642,0.061,49.18
a_4,2963,0.107,37.383
a_4,4422,0.131,22.9
a_4,4175,0.24,12.5
a_4,1422,0.972,4.115
a_4,2261,0.207,9.661
a_4,494,0.26,30.769
a_4,5339,0.144,20.833
a_4,2682,0.762,49.868
a_4,722,0.717,2.789
a_4,1819,0.448,78.125
a_4,1435,0.285,14.035
a_4,4225,0.064,62.5
a_4,5507,0.225,8.888
a_4,2749,0.165,30.303
a_4,2291,0.534,116.104
a_4,3212,0.214,14.018
a_4,304,0.198,35.353
a_4,3577,0.048,62.5
a_4,1225,0.23,34.782
a_5,4325,0.147,278.911
a_5,1204,0.327,6.116
a_5,1749,3.33,1.501
a_5,5419,0.195,20.512
a_5,4949,0.443,6.772
a_5,1706,0.183,814.207
a_5,4659,15.137,0.264
a_5,3751,0.26,11.538
a_5,3887,0.217,18.433
a_5,949,0.514,5.836
a_5,4097,0.101,79.207
a_5,2255,0.498,96.385
a_5,3219,0.225,31.111
a_5,1502,0.705,4.255
a_5,660,0.777,5.148
a_5,5270,0.238,12.605
a_5,5219,0.72,5.555
a_5,1656,0.143,34.965
a_5,5106,0.095,21.052
a_5,5288,0.141,21.276
a_5,513,0.299,13.377
a_5,4506,0.08,37.5
a_5,3999,0.088,34.09
a_5,1433,0.122,16.393
a_5,4650,0.419,4.773
a_5,3081,0.356,8.426
a_5,374,0.252,27.777
a_5,4755,0.581,5.163
a_5,3221,1.254,3.189
a_5,1723,0.149,543.624
a_5,2981,0.479,8.35
a_5,3688,0.087,34.482
a_5,3598,0.072,41.666
a_5,627,0.471,235.668
a_5,5251,0.482,60.165
a_5,3762,0.035,85.714
a_5,928,0.159,25.157
a_5,1180,0.123,16.26
a_5,1633,0.406,9.852
a_5,5698,0.046,65.217
a_5,5714,0.172,587.209
a_5,369,0.276,25.362
a_5,3239,0.255,11.764
a_5,5231,0.837,3.584
a_5,3886,0.131,30.534
a_5,5694,0.048,62.5
a_5,971,0.395,5.063
a_5,45,0.261,22.988
a_5,1007,0.239,8.368
a_5,4120,0.065,30.769
a_5,2323,0.728,2.747
a_5,4891,0.179,16.759
a_5,2034,0.612,4.901
a_5,1520,0.627,3.189
a_5,3596,0.085,35.294
a_5,3220,0.199,15.075
a_5,4810,0.144,20.833
a_5,5351,0.209,9.569
a_5,1101,0.403,49.627
a_5,5625,0.186,21.505
a_5,3458,0.166,18.072
a_5,2343,0.523,3.824
a_5,213,0.572,5.244
a_5,1962,0.123,24.39
a_5,4969,0.172,23.255
a_5,2975,0.329,12.158
a_5,1908,3.769,7.694
a_5,929,0.179,33.519
a_5,3765,0.056,53.571
a_5,2111,0.333,9.009
a_5,3428,0.161,24.844
a_5,3801,0.114,70.175
a_5,3682,0.035,85.714
a_5,4441,0.063,63.492
a_5,3115,2.343,232.607
a_5,1752,0.451,13.303
a_5,3836,0.141,14.184
a_5,5388,0.079,75.949
a_5,5466,0.129,54.263
a_5,1043,0.364,13.736
a_5,5382,0.103,38.834
a_5,955,0.277,10.83
a_5,983,0.381,10.498
a_5,2519,0.281,7.117
a_5,3040,0.243,12.345
a_5,457,0.241,37.344
a_5,1591,0.534,7.49
a_5,4566,0.089,44.943
a_5,2298,0.463,4.319
a_5,1716,0.883,278.595
a_6,2225,0.805,2.484
a_6,5440,0.124,16.129
a_6,1167,0.281,17.793
a_6,697,0.267,7.49
a_6,977,0.31,29.032
a_6,4624,3.443,1.161
a_6,5821,0.155,25.806
a_6,125,0.282,10.638
a_6,2563,1.658,272.014
a_6,4191,0.07,157.142
a_6,3737,0.069,43.478
a_6,43,0.825,2.424
a_6,5634,0.14,28.571
a_6,3652,0.09,33.333
a_6,1654,0.142,35.211
a_6,1980,0.675,186.666
a_6,3918,0.026,230.769
a_6,5540,1.088,11.948
a_6,5711,0.117,735.042
a_6,4811,0.238,21.008
a_6,681,0.309,6.472
a_6,3587,0.056,53.571
a_6,2173,0.147,13.605
a_6,5577,0.611,4.909
a_6,5346,0.308,74.675
a_6,2573,0.584,212.328
a_6,758,0.231,8.658
a_6,1420,0.511,5.87
a_6,1210,0.474,12.658
a_6,4905,0.056,53.571
a_6,3690,0.094,31.914
a_6,1815,0.467,40.685
a_6,5088,0.145,48.275
a_6,2847,0.211,23.696
a_6,4496,0.432,4.629
a_6,2344,0.161,86.956
a_6,2175,0.146,13.698
a_6,5739,0.103,378.64
a_6,4892,0.343,17.492
a_6,2558,1.158,112.262
a_6,4203,0.073,27.397
a_6,5404,0.016,187.5
a_6,4034,0.175,17.142
a_6,956,0.201,14.925
a_6,1118,0.401,9.975
a_6,4015,0.042,95.238
a_6,833,1.077,1.857
a_6,1554,0.583,3.43
a_6,4596,0.196,204.081
a_6,2857,0.165,30.303
a_6,2242,0.373,8.042
a_6,2474,0.154,58.441
a_6,419,0.944,7.415
a_6,5715,0.053,56.603
a_6,2371,0.239,33.472
a_6,4274,0.214,18.691
a_6,5318,0.199,20.1
a_6,2075,0.56,1.785
a_6,897,0.257,11.673
a_6,511,0.438,50.228
a_6,1888,0.685,5.839
a_6,2511,0.285,7.017
a_6,3100,0.302,9.933
a_6,4229,0.12,41.666
a_6,1876,0.264,11.363
a_6,768,1.262,74.484
a_6,3051,0.286,6.993
a_6,3704,5.983,0.501
a_6,4076,0.143,27.972
a_6,5337,0.079,50.632
a_6,5393,0.111,27.027
a_6,2304,0.503,5.964
a_6,2577,1.802,2.219
a_6,3618,0.057,52.631
a_6,41,1.178,3.395
a_6,3549,0.066,45.454
a_6,3346,0.124,24.193
a_6,4598,1.019,670.264
a_6,3632,0.051,58.823
a_6,4036,0.149,40.268
a_6,3255,0.049,346.938
a_6,832,1.023,1.955
a_6,2649,0.202,9.9
a_6,3001,0.167,17.964
a_6,3238,0.2,25.0
a_6,1347,0.146,27.397
a_6,4001,0.08,37.5
a_6,187,0.563,12.433
a_6,2569,3.578,0.838
a_6,3606,0.03,100.0
a_6,1697,0.143,34.965
a_6,517,0.289,10.38
a_6,5622,0.174,22.988
a_6,2915,0.101,29.702
a_6,3415,0.139,28.776
a_6,786,0.619,6.462
a_6,2943,0.116,68.965
a_6,2365,1.194,1.675
a_7,5480,0.135,66.666
a_7,4824,1.08,31.481
a_7,555,0.138,14.492
a_7,2239,0.473,23.255
a_7,2277,0.856,7.009
a_7,5697,0.199,507.537
a_7,2069,0.43,6.976
a_7,110,0.183,27.322
a_7,5133,0.884,7.918
a_7,973,0.434,4.608
a_7,2182,0.195,15.384
a_7,4370,0.146,27.397
a_7,1268,0.418,7.177
a_7,4223,0.133,30.075
a_7,5157,0.465,4.301
a_7,2046,3.05,1.311
a_7,1474,0.558,10.752
a_7,3061,0.313,41.533
a_7,2723,0.176,28.409
a_7,673,0.258,11.627
a_7,2425,0.302,33.112
a_7,2504,0.286,6.993
a_7,534,0.039,76.923
a_7,2145,0.341,5.865
a_7,2785,0.165,30.303
a_7,3079,0.365,10.958
a_7,601,0.395,17.721
a_7,680,0.59,3.389
a_7,3700,13.519,0.221
a_7,5653,0.039,717.948
a_7,3407,0.478,6.276
a_7,2803,0.166,30.12
a_7,3916,0.029,206.896
a_7,2142,0.345,8.695
a_7,270,0.133,52.631
a_7,3735,0.095,31.578
a_7,4721,0.13,30.769
a_7,2210,0.406,32.019
a_7,4233,0.402,465.174
a_7,4804,0.08,50.0
a_7,5034,0.152,32.894
a_7,1547,0.788,2.538
a_7,3214,0.256,11.718
a_7,2668,0.353,16.997
a_7,4198,0.074,40.54
a_7,4005,0.076,52.631
a_7,3226,0.242,12.396
a_7,4688,0.113,35.398
a_7,5105,0.079,25.316
a_7,473,0.111,81.081
a_7,3185,0.225,13.333
a_7,3438,0.196,20.408
a_7,4995,0.365,13.698
a_7,3454,0.162,24.691
a_7,5800,0.136,235.294
a_7,754,0.486,10.288
a_7,4717,8.47,2.125
a_7,3450,0.163,24.539
a_7,2428,1.494,14.725
a_7,4957,0.141,28.368
a_7,931,1.145,6.986
a_7,4865,0.271,199.261
a_7,84,0.894,2.237
a_7,2484,0.268,59.701
a_7,1655,0.148,33.783
a_7,1278,0.135,407.407
a_7,686,0.294,6.802
a_7,1013,0.678,421.828
a_7,2657,0.473,6.342
a_7,3938,0.144,27.777
a_7,2505,0.284,7.042
a_7,1459,0.397,5.037
a_7,5808,0.173,17.341
a_7,3586,0.055,54.545
a_7,2312,0.298,6.711
a_7,3685,0.059,50.847
a_7,5195,0.285,10.526
a_7,4594,0.19,10.526
a_7,4302,0.139,287.769
a_7,2939,0.116,25.862
a_7,5702,0.133,578.947
a_7,4734,0.068,44.117
a_7,432,0.194,36.082
a_7,917,0.14,21.428
a_7,1409,0.342,5.847
a_7,4474,0.116,34.482
a_7,4653,0.226,8.849
a_7,1852,0.916,2.183
a_7,3857,0.076,26.315
a_7,5049,0.14,14.285
a_7,4831,0.152,13.157
a_7,1403,0.393,5.089
a_7,3035,0.122,16.393
a_7,3743,0.075,40.0
a_7,4751,0.222,18.018
a_7,260,0.193,36.269
a_7,3706,4.962,0.403
a_7,5335,0.144,20.833
a_7,5554,1.187,10.109
a_7,1811,15.368,0.26
a_7,5411,0.022,45.454
a_7,3195,0.206,14.563
a_7,3733,0.04,75.0
a_7,126,0.133,22.556
a_7,3660,0.055,54.545
a_7,1317,0.543,3.683
a_7,5632,0.311,16.077
a_7,3680,0.04,75.0
a_7,4348,0.121,16.528
a_7,1533,1.421,475.017
a_7,4248,0.064,46.875
a_7,4818,0.234,21.367
a_7,3793,0.105,76.19
a_7,632,0.248,8.064
a_7,1927,0.33,9.09
a_7,2215,0.646,4.643
a_7,283,0.136,51.47
a_7,4210,0.098,20.408
a_7,696,0.586,3.412
a_7,1496,0.416,2.403
a_7,3990,0.043,162.79
a_7,5723,0.097,793.814
a_7,4134,0.069,115.942
a_8,2496,11.488,0.174
a_8,3588,0.056,53.571
a_8,4404,0.075,40.0
a_8,3692,0.054,55.555
a_8,1882,0.195,15.384
a_8,5261,0.201,14.925
a_8,1760,0.159,113.207
a_8,4217,0.085,47.058
a_8,1722,0.153,359.477
a_8,269,0.206,33.98
a_8,3753,0.062,48.387
a_8,2100,0.51,3.921
a_8,206,0.537,3.724
a_8,1353,0.135,22.222
a_8,5720,0.047,63.829
a_8,2518,0.433,6.928
a_8,3204,0.206,19.417
a_8,544,0.228,13.157
a_8,3069,0.239,8.368
a_8,2721,0.172,29.069
a_8,1813,0.448,8.928
a_8,5126,1.153,96.27
a_8,1843,1.061,5.655
a_8,1648,0.18,27.777
a_8,3923,0.07,85.714
