Topology.workers,Component.bolt_num,Topology.acker.executors,Message.size,Component.spout_num,Topology.serialized.message.size.metrics,Topology.max.spout.pending,Storm.messaging.netty.min_wait_ms,Topology.transfer.buffer.size,Storm.messaging.netty.max_wait_ms,Topology.level,opology.priority,<$throughput,<$latency
4,1,2,1000000,10,0,1000,1000,512,10000,2,0,2448.25,1582.525
4,10,2,1000000,1,1,1,10,512,100,2,0,nan,nan
4,10,4,1000000,1,0,1000,1000,512,10000,5,0,6042.5,32
4,10,2,10,10,0,1000,10,1024,100,5,0,8883.888889,1392.533333
2,10,2,1000000,10,0,1000,10,512,100,5,29,0,0
4,1,2,10,1,1,1000,1000,1024,10000,2,29,0,95
4,1,4,1000000,1,0,1000,1000,512,10000,5,29,5597,61.3
2,1,4,10,10,0,1,1000,1024,10000,2,29,3813.75,1.4
2,1,4,10,1,1,1,10,1024,100,2,0,nan,nan
2,1,4,1000000,10,1,1000,10,512,100,2,0,nan,nan
2,1,2,10,1,0,1000,1000,512,10000,5,29,nan,nan
4,10,2,1000000,1,1,1,1000,1024,10000,2,0,0,1.5
2,1,2,1000000,10,1,1000,1000,512,10000,2,0,nan,nan
2,10,2,1000000,1,1,1000,1000,512,10000,5,0,nan,nan
4,10,2,10,10,1,1000,1000,1024,10000,2,29,8798.833333,1709.433333
4,10,2,1000000,10,1,1,1000,1024,10000,2,29,0,0.3
4,10,2,1000000,10,1,1000,1000,512,10000,5,29,nan,nan
4,10,4,1000000,1,0,1,10,1024,100,2,0,nan,nan
2,10,4,10,10,1,1,10,1024,100,2,0,3702.5,1.5
4,10,2,10,1,0,1,1000,512,10000,5,0,nan,nan
4,10,2,1000000,10,0,1000,10,512,100,5,29,1555.666667,548.7666667
4,10,2,1000000,1,0,1000,1000,512,10000,5,0,0,242.4
2,10,2,1000000,10,1,1000,1000,1024,10000,2,0,nan,nan
2,1,4,10,1,0,1,10,512,100,2,0,nan,nan
4,1,4,1000000,10,0,1000,10,512,100,2,29,0,1594.4
4,10,2,10,10,1,1000,10,1024,100,5,0,7120.2,1952.4
2,10,2,10,1,1,1,1000,1024,10000,5,0,nan,nan
4,10,4,10,10,0,1,10,512,100,5,0,5030,1.916666667
2,10,4,1000000,10,0,1000,10,1024,100,5,29,0,0
4,10,2,1000000,1,1,1,1000,1024,10000,2,0,0,1.5
4,1,4,1000000,10,0,1,1000,512,10000,5,29,nan,nan
2,10,4,10,10,1,1,10,1024,100,2,0,0,1.4
4,10,4,1000000,1,1,1000,1000,512,10000,5,0,0,47.9
4,10,4,1000000,10,1,1,1000,512,10000,5,0,0,53.1
2,1,2,10,1,0,1,1000,512,10000,5,29,nan,nan
2,10,2,1000000,10,1,1000,1000,512,10000,2,29,nan,nan
2,1,2,10,10,0,1000,1000,512,10000,2,0,0,0
4,1,2,10,10,0,1000,10,512,100,5,29,5634.666667,2090.25
4,10,4,10,10,1,1,1000,512,10000,5,0,4267.8,2.02
4,1,2,1000000,1,1,1000,1000,512,10000,5,0,6803.5,73.4
4,10,4,10,1,1,1000,1000,512,10000,2,29,6905.5,47.1
2,10,4,10,1,0,1,10,512,100,2,0,nan,nan
4,10,2,10,10,1,1,10,1024,100,2,0,nan,nan
2,1,4,1000000,1,0,1,10,1024,100,5,29,nan,nan
4,1,4,1000000,1,0,1000,1000,1024,10000,5,29,nan,nan
2,1,2,10,10,0,1,10,512,100,5,0,0,1.4
2,10,2,1000000,10,1,1000,10,512,100,2,0,0,0
2,1,2,1000000,10,0,1000,1000,1024,10000,5,29,0,0
4,1,2,1000000,1,0,1,10,1024,100,2,0,nan,nan
4,1,2,1000000,1,0,1,1000,512,10000,5,0,nan,nan
2,1,4,10,1,1,1000,10,512,100,5,0,nan,nan
2,10,2,10,10,1,1000,10,1024,100,2,0,4916.333333,762.1
2,1,2,10,10,1,1,10,512,100,2,0,0,1.4
4,1,2,10,10,1,1,1000,512,10000,5,29,4276.75,1.7
2,10,2,10,1,0,1000,1000,1024,10000,2,0,nan,nan
2,10,4,1000000,1,0,1,10,512,100,2,0,nan,nan
4,10,4,10,1,0,1000,1000,1024,10000,2,29,7030.5,39.8
4,1,4,10,1,0,1000,10,512,100,5,29,10715.33333,31.13333333
2,1,4,10,1,0,1000,1000,512,10000,5,29,0,30
2,1,2,10,10,0,1,1000,1024,10000,2,29,nan,nan
2,1,2,1000000,1,1,1000,10,1024,100,5,0,nan,nan
4,1,2,10,1,0,1,1000,512,10000,5,29,nan,nan
4,10,4,1000000,1,1,1000,1000,1024,10000,2,29,nan,nan
4,10,4,1000000,1,0,1,10,512,100,2,29,nan,nan
4,1,4,10,10,1,1,1000,512,10000,2,29,4469.6,3.1
4,10,4,1000000,1,1,1000,1000,1024,10000,2,29,0,124.8
4,10,2,10,10,1,1,10,1024,100,2,0,4703.8,1.92
2,10,2,1000000,1,0,1,10,512,100,5,0,nan,nan
4,1,4,1000000,10,0,1000,1000,1024,10000,2,29,86,1371.82
2,1,4,1000000,1,1,1,1000,1024,10000,5,29,nan,nan
4,10,2,1000000,10,0,1000,1000,512,10000,5,0,2082.5,580.35
4,1,2,10,10,1,1,1000,512,10000,2,29,4635,2.32
2,1,2,10,10,0,1,1000,512,10000,2,29,0.333333333,0.3
4,10,4,10,1,1,1,1000,512,10000,2,29,nan,nan
2,10,2,10,10,1,1000,10,512,100,2,0,6709,856.4
2,1,2,10,1,1,1000,1000,512,10000,5,29,nan,nan
4,1,2,1000000,10,1,1,1000,1024,10000,5,29,nan,nan
4,10,2,1000000,10,0,1,1000,512,10000,5,0,930.6,1.02
4,10,4,1000000,10,1,1,10,1024,100,2,29,0,157.8
2,1,2,10,10,0,1000,1000,1024,10000,2,0,0,1408.6
2,1,2,1000000,1,1,1000,10,512,100,2,0,nan,nan
4,10,4,1000000,1,0,1,10,1024,100,5,0,nan,nan
4,10,2,1000000,10,0,1,10,512,100,2,0,nan,nan
2,1,4,10,1,1,1,1000,1024,10000,2,0,nan,nan
2,10,4,10,10,1,1,1000,512,10000,5,29,nan,nan
4,10,4,1000000,1,1,1000,1000,512,10000,5,29,0,214.5
2,10,2,1000000,10,1,1000,10,512,100,5,0,0,0
4,10,2,10,1,0,1000,10,1024,100,5,0,0,70.1
2,10,2,1000000,10,1,1,1000,1024,10000,5,0,0,0
2,10,2,1000000,1,0,1000,1000,512,10000,5,0,0,74.3
2,1,2,10,10,0,1000,1000,512,10000,5,29,0,1180.3
4,10,4,1000000,1,1,1,10,1024,100,2,29,nan,nan
2,10,4,10,1,0,1,1000,1024,10000,5,0,nan,nan
2,10,4,10,10,0,1000,10,512,100,5,0,8737.25,915.375
4,1,2,1000000,1,0,1000,10,1024,100,2,29,nan,nan
2,10,4,1000000,10,0,1000,10,512,100,2,29,0,0
2,1,2,1000000,10,0,1,10,512,100,5,0,nan,nan
4,1,2,1000000,1,1,1,10,1024,100,2,0,nan,nan
2,1,4,10,10,0,1,10,512,100,5,0,203,1.6
2,1,4,10,1,0,1,10,512,100,5,29,nan,nan
2,10,4,10,10,0,1000,1000,512,10000,5,29,nan,nan
2,1,2,1000000,1,1,1,10,1024,100,2,0,nan,nan
2,1,2,1000000,1,1,1,1000,512,10000,2,0,nan,nan
4,1,2,1000000,1,0,1,10,512,100,2,29,nan,nan
4,1,2,1000000,10,0,1000,10,1024,100,2,29,2342.5,512.8833333
2,10,2,10,1,0,1,1000,512,10000,5,0,nan,nan
4,1,2,1000000,1,1,1,1000,512,10000,2,29,nan,nan
4,1,2,10,10,0,1000,1000,1024,10000,5,29,7459,1626.7
2,10,2,10,10,0,1000,1000,512,10000,2,0,nan,nan
2,10,4,10,10,1,1,1000,1024,10000,5,0,0,2.4
2,10,2,10,10,0,1000,10,512,100,2,0,nan,nan
2,1,4,1000000,1,1,1,10,512,100,2,29,nan,nan
4,10,4,10,10,0,1000,10,512,100,2,29,8261.625,1756.3
2,1,2,10,10,1,1000,10,512,100,2,0,nan,nan
4,10,4,10,1,0,1,1000,1024,10000,5,29,nan,nan
4,10,4,1000000,1,1,1000,10,1024,100,5,0,0,50.5
4,10,2,10,10,0,1,1000,1024,10000,5,0,2080,2.933333333
4,1,2,1000000,10,0,1,10,1024,100,5,29,1078.75,1.125
2,10,2,1000000,1,1,1,10,512,100,2,0,nan,nan
2,1,4,1000000,1,1,1000,1000,512,10000,5,29,nan,nan
4,10,4,1000000,10,0,1,1000,1024,10000,5,0,0,51.4
4,10,2,1000000,1,0,1000,10,1024,100,2,0,nan,nan
4,1,2,10,1,1,1000,1000,512,10000,2,29,0,193.3
4,10,4,1000000,10,0,1000,1000,1024,10000,2,29,0,10.6
4,1,4,1000000,1,1,1,1000,1024,10000,5,29,nan,nan
2,1,4,10,10,1,1000,10,1024,100,2,0,18289.57143,591.8714286
2,10,2,10,1,1,1000,1000,1024,10000,5,0,0,84.7
2,10,2,10,1,0,1,10,1024,100,2,0,nan,nan
4,10,4,10,10,0,1000,10,1024,100,5,29,8381.285714,1971.728571
2,1,4,10,1,0,1000,10,1024,100,2,0,nan,nan
4,10,4,10,10,1,1,10,1024,100,2,0,5058.166667,1.933333333
4,10,4,1000000,1,0,1,1000,1024,10000,2,29,nan,nan
2,1,2,1000000,10,0,1000,10,512,100,5,0,nan,nan
4,10,2,10,10,1,1000,1000,512,10000,5,29,8062.6,1904.3
2,1,4,1000000,1,1,1000,1000,1024,10000,2,0,nan,nan
4,1,2,10,10,1,1000,10,512,100,2,29,7276.5,1850.416667
4,1,4,1000000,1,1,1,10,1024,100,2,29,nan,nan
4,1,2,1000000,1,1,1,10,1024,100,5,29,0,1.5
2,10,2,1000000,10,0,1,1000,1024,10000,5,0,0,0
2,1,4,10,10,1,1,10,512,100,2,0,nan,nan
4,10,2,1000000,10,0,1,1000,1024,10000,2,0,nan,nan
4,1,4,1000000,10,0,1000,10,1024,100,2,0,106,1421.55
4,10,2,10,10,1,1,1000,512,10000,5,0,5175.285714,1.6
4,10,2,10,1,1,1000,1000,512,10000,2,0,0,88.5
4,1,2,10,10,1,1000,10,512,100,2,0,6703.5,2239.175
4,10,4,1000000,1,0,1000,10,1024,100,5,0,0,52.5
4,1,2,1000000,1,0,1,1000,512,10000,2,29,nan,nan
4,10,4,1000000,10,0,1,1000,1024,10000,5,0,0,420.25
2,1,4,10,10,1,1,1000,512,10000,2,29,nan,nan
4,10,4,10,1,1,1,1000,1024,10000,2,0,nan,nan
4,1,2,1000000,1,0,1000,10,512,100,2,0,0,97.8
4,1,4,1000000,10,1,1,1000,512,10000,5,29,nan,nan
2,1,2,10,1,1,1000,1000,512,10000,2,0,nan,nan
2,1,4,1000000,10,1,1000,1000,512,10000,5,0,nan,nan
2,10,2,1000000,10,1,1,1000,1024,10000,5,0,0,0
4,10,4,10,10,0,1,10,1024,100,2,29,4402,2.54
4,1,4,1000000,10,1,1000,10,512,100,2,29,7,600.3
4,1,4,10,10,1,1,10,1024,100,5,0,nan,nan
4,10,2,10,1,0,1000,1000,512,10000,5,0,7544.5,62.2
2,1,2,10,1,0,1,10,1024,100,5,0,nan,nan
4,10,4,10,10,0,1,1000,1024,10000,2,0,nan,nan
4,10,4,1000000,10,1,1000,10,1024,100,5,0,nan,nan
4,1,2,1000000,1,1,1000,10,1024,100,2,0,0,210.8
4,1,4,1000000,10,1,1,10,512,100,5,29,nan,nan
4,10,4,1000000,1,1,1000,1000,512,10000,2,0,nan,nan
4,1,2,1000000,1,1,1000,10,512,100,5,0,nan,nan
2,1,4,1000000,10,0,1,10,512,100,5,29,nan,nan
4,1,4,1000000,10,0,1000,1000,1024,10000,5,0,80,1407.8
4,1,4,10,10,0,1000,1000,1024,10000,5,0,9513.272727,1424.027273
2,1,4,1000000,10,0,1,1000,512,10000,2,29,nan,nan
2,1,2,10,10,1,1000,1000,512,10000,5,0,nan,nan
2,10,4,1000000,10,0,1000,10,1024,100,5,0,0,0
2,1,4,10,10,1,1,1000,1024,10000,2,0,nan,nan
4,10,2,10,1,1,1,1000,1024,10000,5,0,nan,nan
2,1,4,1000000,1,0,1000,10,1024,100,2,29,nan,nan
2,1,4,10,10,1,1,1000,1024,10000,2,0,0,0
2,1,2,1000000,1,1,1,1000,512,10000,5,0,nan,nan
2,1,2,1000000,10,1,1,1000,512,10000,2,0,0,0
2,10,2,10,10,0,1000,10,1024,100,5,29,nan,nan
2,1,4,10,10,1,1,10,1024,100,5,0,nan,nan
4,10,2,1000000,10,0,1,10,512,100,2,0,nan,nan
4,1,4,10,10,1,1000,1000,1024,10000,2,0,9500.333333,1535.477778
4,10,2,10,1,1,1,10,1024,100,2,0,0,1.5
4,10,4,10,1,1,1000,1000,512,10000,5,29,0,65.2
4,10,2,10,10,0,1,10,512,100,2,0,3120.8,2.86
4,10,2,1000000,10,1,1,1000,512,10000,5,0,769.6666667,1.7
4,10,2,10,1,0,1,1000,1024,10000,2,0,nan,nan
2,10,4,1000000,1,1,1000,1000,1024,10000,2,0,nan,nan
4,1,4,1000000,10,1,1,1000,1024,10000,2,29,nan,nan
4,1,2,10,1,1,1000,10,512,100,2,0,2429,68.2
2,10,2,10,1,0,1000,10,512,100,2,0,nan,nan
4,10,4,10,1,0,1000,1000,512,10000,2,0,0,173.9
2,10,4,1000000,1,1,1,1000,1024,10000,2,0,nan,nan
2,1,4,1000000,10,0,1000,10,1024,100,5,29,nan,nan
4,10,4,1000000,1,1,1,10,512,100,5,0,nan,nan
4,10,2,1000000,1,1,1000,10,1024,100,2,0,0,131
2,1,2,1000000,1,0,1,10,512,100,5,0,nan,nan
2,10,2,1000000,10,1,1000,1000,512,10000,2,29,0,0
2,10,4,1000000,10,0,1,10,1024,100,5,29,nan,nan
4,1,4,10,10,0,1000,10,1024,100,5,0,8817.25,1657
4,10,4,10,10,0,1,1000,512,10000,2,0,3993.333333,1.95
4,1,4,10,10,1,1,10,512,100,2,29,4783.666667,2.083333333
4,10,4,10,1,1,1,1000,512,10000,2,29,0,1.7
4,10,2,10,1,1,1000,1000,512,10000,5,0,0,76.9
2,10,2,1000000,10,1,1,10,512,100,2,0,nan,nan
4,10,4,10,10,1,1000,1000,1024,10000,5,29,8227.25,1731.9625
2,1,4,1000000,1,0,1000,10,1024,100,5,29,nan,nan
4,1,2,1000000,10,1,1,1000,1024,10000,5,0,1101.333333,0.716666667
4,10,2,10,1,0,1000,1000,512,10000,5,0,0,94.5
4,10,2,1000000,1,1,1000,10,1024,100,2,0,0,122.7
2,10,4,1000000,10,0,1,1000,512,10000,5,0,0,0
2,10,4,1000000,1,0,1000,10,512,100,5,0,nan,nan
4,1,2,1000000,10,0,1000,10,512,100,2,0,1868,605.275
2,10,4,1000000,10,1,1,1000,1024,10000,5,29,0,0
4,10,2,1000000,10,0,1000,1000,1024,10000,2,29,nan,nan
2,1,2,10,1,1,1,10,512,100,5,0,nan,nan
4,1,2,1000000,10,1,1000,10,1024,100,2,0,1596.6,557.16
4,1,4,1000000,10,1,1000,1000,512,10000,2,0,34.5,910
2,1,4,1000000,10,0,1000,10,512,100,2,0,nan,nan
2,1,4,1000000,1,0,1,10,1024,100,5,0,nan,nan
2,1,4,10,10,1,1000,1000,512,10000,2,29,nan,nan
2,10,4,10,10,1,1,1000,1024,10000,2,0,2607,1.4
4,10,4,10,1,0,1,10,1024,100,5,29,0,1.5
2,10,2,10,1,1,1,1000,1024,10000,2,0,nan,nan
2,1,2,1000000,1,0,1000,10,512,100,5,29,0,53
4,10,4,10,1,1,1000,10,512,100,2,29,0,71.6
4,10,4,1000000,10,1,1000,1000,1024,10000,5,29,42,481.3
2,1,2,10,1,1,1,1000,1024,10000,2,0,nan,nan
4,1,4,1000000,1,1,1,10,1024,100,5,29,nan,nan
4,10,4,1000000,10,1,1000,1000,1024,10000,2,0,nan,nan
4,10,4,10,10,0,1,10,1024,100,5,0,4090.5,2.2
4,1,4,1000000,1,0,1,10,1024,100,5,29,nan,nan
2,1,2,1000000,1,1,1,1000,1024,10000,2,0,nan,nan
4,10,4,10,10,0,1,1000,1024,10000,2,29,4074.75,2.475
2,1,4,1000000,1,0,1000,10,1024,100,2,29,nan,nan
2,1,2,1000000,10,1,1,1000,512,10000,5,0,0,0
2,1,4,1000000,10,0,1000,1000,1024,10000,5,29,0,0
2,10,4,10,10,1,1,10,1024,100,5,0,nan,nan
4,1,2,10,10,0,1,10,512,100,2,0,2490,2.525
4,10,2,1000000,10,1,1,10,512,100,5,0,827.2,0.96
4,10,4,1000000,1,0,1,1000,512,10000,5,29,nan,nan
2,10,2,10,1,1,1,1000,512,10000,2,0,nan,nan
4,10,4,10,10,0,1,1000,512,10000,2,29,4018.8,2.64
4,10,4,1000000,1,0,1,1000,512,10000,5,0,nan,nan
4,10,2,1000000,10,1,1,10,1024,100,2,29,953,0.8
4,10,2,1000000,10,1,1000,1000,1024,10000,5,29,0,516.8
4,10,4,1000000,1,0,1000,10,1024,100,2,0,5251.5,46.5
4,1,2,10,10,0,1000,10,1024,100,2,0,7477.8,1726.12
4,1,4,1000000,10,0,1,1000,1024,10000,2,0,0,2415.625
4,10,2,1000000,1,0,1,10,512,100,5,0,nan,nan
2,1,4,1000000,10,0,1,1000,1024,10000,2,0,0,0
2,1,2,10,1,1,1000,1000,1024,10000,5,0,nan,nan
4,1,4,10,1,0,1,1000,512,10000,5,29,nan,nan
2,10,2,1000000,10,1,1,1000,512,10000,5,0,0,0
2,1,4,1000000,10,0,1000,1000,512,10000,2,0,nan,nan
4,10,2,10,10,1,1000,10,1024,100,5,0,6707.857143,1899.914286
4,10,4,1000000,10,0,1,1000,512,10000,5,0,0,1.5
2,10,2,1000000,10,0,1000,10,1024,100,5,29,0,0
2,10,2,1000000,10,0,1,1000,512,10000,5,0,0,0
4,10,4,10,1,0,1000,1000,512,10000,5,29,11234.66667,26.73333333
2,10,4,1000000,1,0,1000,1000,1024,10000,5,0,nan,nan
2,1,4,1000000,1,0,1000,1000,1024,10000,2,0,nan,nan
2,1,4,10,1,1,1,1000,512,10000,2,0,nan,nan
2,1,2,10,10,1,1000,10,512,100,5,29,nan,nan
4,10,2,1000000,1,1,1,10,512,100,2,0,nan,nan
4,10,4,10,1,0,1000,10,1024,100,5,29,nan,nan
2,10,4,10,10,1,1000,10,1024,100,2,29,nan,nan
2,1,2,10,10,1,1,10,1024,100,2,0,nan,nan
2,10,4,1000000,10,1,1,1000,512,10000,2,29,nan,nan
4,1,2,10,10,1,1000,1000,512,10000,5,0,7740.333333,2097.333333
4,1,4,1000000,10,1,1,10,1024,100,5,29,0.25,93.7
2,1,4,10,1,1,1000,1000,512,10000,5,29,0,23.8
2,1,2,10,1,1,1,10,512,100,2,29,nan,nan
2,10,2,10,10,1,1,1000,1024,10000,2,29,nan,nan
4,10,4,10,10,1,1,1000,512,10000,2,0,4038.181818,2.990909091
4,10,2,1000000,10,1,1,1000,1024,10000,2,29,nan,nan
4,1,2,1000000,1,0,1,10,512,100,5,0,nan,nan
2,1,2,10,1,0,1000,1000,1024,10000,5,0,nan,nan
4,10,2,1000000,10,1,1,1000,1024,10000,2,29,nan,nan
2,1,4,1000000,10,1,1000,10,512,100,5,29,nan,nan
4,1,4,10,10,0,1000,10,512,100,2,29,6382,1945.128571
4,10,4,10,10,0,1,1000,1024,10000,5,0,3879.833333,3.133333333
4,10,4,10,1,1,1000,1000,1024,10000,5,0,0,59.7
4,1,4,10,1,0,1,10,512,100,2,29,nan,nan
4,10,4,10,1,0,1,1000,512,10000,2,29,nan,nan
4,10,4,1000000,1,0,1,1000,512,10000,2,29,nan,nan
2,10,4,10,10,0,1,10,512,100,2,0,nan,nan
2,1,2,10,1,0,1,1000,512,10000,5,0,nan,nan
2,1,4,10,1,1,1000,10,512,100,2,29,nan,nan
4,1,2,1000000,1,0,1,10,1024,100,5,0,nan,nan
4,10,2,10,1,1,1000,1000,512,10000,2,0,6476,52.6
4,10,4,1000000,10,1,1,1000,1024,10000,2,0,nan,nan
2,10,2,10,1,0,1000,10,1024,100,2,0,nan,nan
4,10,4,10,1,1,1,1000,512,10000,5,29,nan,nan
4,10,2,1000000,1,1,1,1000,512,10000,5,0,nan,nan
2,1,4,10,10,1,1,10,1024,100,5,0,nan,nan
2,1,2,10,1,1,1,1000,1024,10000,2,0,nan,nan
4,10,4,1000000,1,1,1000,10,1024,100,2,29,nan,nan
4,10,4,10,10,0,1000,1000,512,10000,5,29,7322.875,1721.625
2,10,4,10,10,0,1,1000,1024,10000,5,29,nan,nan
4,10,4,1000000,10,0,1000,1000,1024,10000,5,0,0,0
4,10,4,10,10,1,1000,10,1024,100,2,29,7211.875,1715.75
2,1,2,1000000,1,0,1000,1000,512,10000,2,0,nan,nan
2,1,2,1000000,1,1,1000,1000,1024,10000,5,29,nan,nan
4,1,2,1000000,10,0,1000,1000,1024,10000,2,0,1709.4,389.12
4,10,2,1000000,10,0,1,10,1024,100,2,0,520,0.9
4,10,2,1000000,10,1,1,1000,512,10000,2,0,1067,1.133333333
4,10,4,10,10,0,1,1000,512,10000,2,0,nan,nan
4,1,2,1000000,1,1,1000,1000,512,10000,2,29,0,106.7
4,10,4,10,10,0,1000,1000,1024,10000,5,0,11594.27273,1256.981818
4,10,2,1000000,1,1,1000,1000,1024,10000,2,0,0,119.3
4,10,4,10,1,0,1,1000,1024,10000,2,29,nan,nan
4,10,2,10,1,0,1,10,512,100,2,0,0,1.5
2,1,4,10,1,1,1,1000,1024,10000,5,29,nan,nan
2,1,2,1000000,10,0,1,10,1024,100,5,0,0,0
2,1,4,10,1,1,1000,1000,1024,10000,5,29,nan,nan
4,10,4,1000000,1,1,1000,1000,512,10000,2,29,nan,nan
4,1,4,1000000,1,1,1000,10,1024,100,5,29,0,100.2
2,10,2,10,10,1,1000,1000,512,10000,2,29,nan,nan
4,1,2,10,10,1,1,10,1024,100,2,0,4580.4,3.2
2,1,4,10,1,0,1000,1000,1024,10000,2,29,nan,nan
2,10,2,1000000,10,0,1000,1000,512,10000,5,29,0,0
4,10,2,1000000,1,0,1000,10,1024,100,5,0,5833.5,97.3
4,1,4,10,1,0,1,1000,1024,10000,5,29,nan,nan
4,1,4,10,1,0,1,10,512,100,5,29,nan,nan
2,1,4,1000000,10,1,1,10,512,100,5,0,0,0
2,10,4,10,1,0,1,1000,512,10000,5,0,nan,nan
2,1,4,10,1,1,1,10,512,100,2,29,nan,nan
2,1,4,10,1,0,1000,10,512,100,5,29,nan,nan
4,1,4,1000000,1,0,1000,10,1024,100,5,29,5566,28.3
4,10,4,10,1,1,1000,1000,512,10000,2,29,nan,nan
2,1,4,1000000,1,1,1000,1000,512,10000,5,0,nan,nan
